dataset,model,seed,mmd,sliced_wasserstein,precision,coverage,support_coverage,nll,radius,train_time_sec
gaussian_mixture,conditional_ddpm,0,0.0014895200729370117,0.09642768905931103,0.433,0.918,0.8629441624365483,,0.03694282278765671,2.9444961547851562
ring,conditional_ddpm,0,0.001183629035949707,0.06225531292822477,0.932,0.981,0.9016786570743405,,0.06759387161250598,2.9444961547851562
two_moons,conditional_ddpm,0,0.0007274150848388672,0.062293683322371486,0.754,0.9695,0.8580375782881002,,0.08455863160388377,2.9444961547851562
spiral,conditional_ddpm,0,0.0016962289810180664,0.08709497848226946,0.703,0.9495,0.7740805604203153,,0.11013366086125453,2.9444961547851562
gaussian_mixture,conditional_ddpm,1,0.0012575387954711914,0.08214531151618543,0.553,0.9425,0.9082125603864735,,0.03624610840049088,2.7713968753814697
ring,conditional_ddpm,1,0.0010647773742675781,0.06457979802910363,0.907,0.982,0.8868360277136259,,0.06838027610608025,2.7713968753814697
two_moons,conditional_ddpm,1,0.003183603286743164,0.10991071931962659,0.774,0.9685,0.8272357723577236,,0.08661202589394333,2.7713968753814697
spiral,conditional_ddpm,1,0.002573847770690918,0.10082228231823298,0.735,0.922,0.7127272727272728,,0.11441380515409107,2.7713968753814697
gaussian_mixture,conditional_ddpm,2,0.0013469457626342773,0.08187188213837199,0.5455,0.949,0.9396984924623115,,0.03726296466430769,2.2080259323120117
ring,conditional_ddpm,2,0.005068659782409668,0.1308212363548631,0.921,0.9865,0.89749430523918,,0.06881861625481717,2.2080259323120117
two_moons,conditional_ddpm,2,0.0017571449279785156,0.08036481884467805,0.798,0.9735,0.8421052631578947,,0.0851053809113258,2.2080259323120117
spiral,conditional_ddpm,2,0.0041838884353637695,0.13078757185796996,0.7215,0.9415,0.7406749555950266,,0.11279471511644375,2.2080259323120117
