dataset,model,seed,mmd,sliced_wasserstein,precision,coverage,support_coverage,nll,radius,train_time_sec
gaussian_mixture,conditional_ddpm,0,0.0010600090026855469,0.07357107796562004,0.8555555555555555,0.9488888888888889,0.6784660766961652,,0.10610219786296979,2.3824329376220703
ring,conditional_ddpm,0,0.00047147274017333984,0.052857391154398914,0.8811111111111111,0.9944444444444445,0.8359621451104101,,0.09467220713889415,2.3824329376220703
two_moons,conditional_ddpm,0,0.0017055273056030273,0.08367967961672543,0.7466666666666667,0.9677777777777777,0.7129337539432177,,0.10671474112994857,2.3824329376220703
spiral,conditional_ddpm,0,0.0027936697006225586,0.10726051422783989,0.8255555555555556,0.9644444444444444,0.5330188679245284,,0.17582935863702231,2.3824329376220703
gaussian_mixture,conditional_ddpm,1,0.0035126209259033203,0.1109343268637194,0.8233333333333334,0.9555555555555556,0.6882352941176471,,0.11200563189911575,2.067227840423584
ring,conditional_ddpm,1,0.001371622085571289,0.07827829701266681,0.8755555555555555,0.9955555555555555,0.8419354838709677,,0.09511171950059595,2.067227840423584
two_moons,conditional_ddpm,1,0.002213001251220703,0.08633457187336677,0.7611111111111111,0.9655555555555555,0.7125382262996942,,0.1114471672985964,2.067227840423584
spiral,conditional_ddpm,1,0.0017625093460083008,0.08926331561794802,0.8166666666666667,0.9766666666666667,0.555045871559633,,0.17634822447088722,2.067227840423584
gaussian_mixture,conditional_ddpm,2,0.0019191503524780273,0.10001912777048763,0.8155555555555556,0.9333333333333333,0.6347305389221557,,0.11092041085365414,2.0800728797912598
ring,conditional_ddpm,2,0.006731152534484863,0.14000564675249563,0.8722222222222222,0.9877777777777778,0.8204334365325078,,0.09222849709604519,2.0800728797912598
two_moons,conditional_ddpm,2,0.00022280216217041016,0.04697171040747343,0.7155555555555555,0.9444444444444444,0.709480122324159,,0.10612387491454887,2.0800728797912598
spiral,conditional_ddpm,2,0.0029265880584716797,0.10155424285128559,0.8211111111111111,0.94,0.522248243559719,,0.17801864208671594,2.0800728797912598
