dataset,model,seed,mmd,sliced_wasserstein,precision,coverage,support_coverage,nll,radius,train_time_sec
gaussian_mixture,kde,0,0.00020304623461897542,0.03132073925566819,0.9135,0.9765,0.9187817258883249,0.07029547792528942,0.03694282278765671,0.24820804595947266
gaussian_mixture,gmm,0,0.0003926385652759379,0.03895997548086942,0.959,0.948,0.8375634517766497,0.03371265729152762,0.03694282278765671,0.2167830467224121
gaussian_mixture,vae,0,0.010260343551635742,0.18905875185633916,0.229,0.6775,0.6598984771573604,,0.03694282278765671,1.032829999923706
gaussian_mixture,ddpm,0,0.0004595518112182617,0.04985911027851468,0.841,0.953,0.8934010152284264,,0.03694282278765671,1.8099498748779297
gaussian_mixture,kde,1,0.00030342125241400453,0.0345533579220783,0.9315,0.971,0.8792270531400966,0.07411907084721907,0.03624610840049088,0.24867606163024902
gaussian_mixture,gmm,1,0.00047434248441935445,0.039385788350144585,0.954,0.961,0.8599033816425121,0.037240691578348147,0.03624610840049088,0.25971293449401855
gaussian_mixture,vae,1,0.012450695037841797,0.20171041806649098,0.226,0.6805,0.7294685990338164,,0.03624610840049088,0.5102741718292236
gaussian_mixture,ddpm,1,0.0012987852096557617,0.07179277496802719,0.862,0.962,0.893719806763285,,0.03624610840049088,1.7860560417175293
gaussian_mixture,kde,2,0.0009770068932586362,0.059705928891405094,0.934,0.963,0.8693467336683417,0.08943532358809318,0.03726296466430769,0.2524709701538086
gaussian_mixture,gmm,2,0.0022628848089623066,0.08358690515690899,0.9605,0.9625,0.8542713567839196,0.06320982801618627,0.03726296466430769,0.08855390548706055
gaussian_mixture,vae,2,0.009944677352905273,0.18311098753637484,0.2425,0.6985,0.6733668341708543,,0.03726296466430769,0.5147256851196289
gaussian_mixture,ddpm,2,0.0012726783752441406,0.06547959176209522,0.8485,0.95,0.864321608040201,,0.03726296466430769,1.7910966873168945
ring,kde,0,0.00027503792306515784,0.03435744193757648,0.955,0.9945,0.9280575539568345,1.197919726485178,0.06759387161250598,0.23715925216674805
ring,gmm,0,0.0010864433601218693,0.05537654032305907,0.9825,0.981,0.8609112709832134,1.1783905498031035,0.06759387161250598,0.10172128677368164
ring,vae,0,0.011662006378173828,0.18257805434368268,0.5735,0.9205,0.7410071942446043,,0.06759387161250598,0.5519280433654785
ring,ddpm,0,0.0017529726028442383,0.07060612321007385,0.963,0.986,0.8968824940047961,,0.06759387161250598,1.89329195022583
ring,kde,1,0.0005047999207308251,0.042055841477512665,0.9655,0.9895,0.9030023094688222,1.1969960122603598,0.06838027610608025,0.24061989784240723
ring,gmm,1,0.0003729028823098446,0.038868469469342776,0.972,0.9815,0.8799076212471132,1.1666256096322418,0.06838027610608025,0.10744094848632812
ring,vae,1,0.01191091537475586,0.18763212805591264,0.5735,0.917,0.7228637413394919,,0.06838027610608025,0.5425190925598145
ring,ddpm,1,0.0005077123641967773,0.04652925906049424,0.9655,0.9835,0.8960739030023095,,0.06838027610608025,2.038397789001465
ring,kde,2,0.0006173798878181813,0.04508538416033578,0.9785,0.9855,0.8656036446469249,1.2049734905892975,0.06881861625481717,0.2339620590209961
ring,gmm,2,0.0005009652366776418,0.03959271357831863,0.981,0.983,0.8451025056947609,1.1976209186949276,0.06881861625481717,0.10821723937988281
ring,vae,2,0.007464289665222168,0.14946607358490288,0.641,0.8905,0.6810933940774487,,0.06881861625481717,0.5564789772033691
ring,ddpm,2,0.0012569427490234375,0.0622697337864954,0.9545,0.99,0.8633257403189066,,0.06881861625481717,1.911756992340088
two_moons,kde,0,0.000346026350436901,0.03900238173171515,0.9565,0.9945,0.9081419624217119,1.6772221729509051,0.08455863160388377,0.2566967010498047
two_moons,gmm,0,0.0009447763730616732,0.05744019381568123,0.967,0.9765,0.860125260960334,1.6791099495913535,0.08455863160388377,0.12400293350219727
two_moons,vae,0,0.005481600761413574,0.15744905782134133,0.5155,0.926,0.7745302713987474,,0.08455863160388377,0.5320918560028076
two_moons,ddpm,0,0.004399538040161133,0.11529847500088614,0.859,0.967,0.8475991649269311,,0.08455863160388377,2.0622289180755615
