dataset,model,n,mmd_mean,mmd_std,sliced_wasserstein_mean,sliced_wasserstein_std,precision_mean,precision_std,coverage_mean,coverage_std,support_coverage_mean,support_coverage_std,train_time_sec_mean,train_time_sec_std,nll_mean,nll_std
gaussian_mixture,kde,3,0.0004944914600972053,0.00034364191001541177,0.0418600086897172,0.012687792209951658,0.9263333333333333,0.009131751687868506,0.9701666666666666,0.005542763049438656,0.8891185042322545,0.021359388528683125,0.2497850259145101,0.0019088359471134359,0.07794995745353389,0.008270033943574787
gaussian_mixture,gmm,3,0.001043288619552533,0.0008630295597556238,0.05397755632930767,0.0209376930064074,0.9578333333333333,0.002778888666755531,0.9571666666666666,0.006510674994874891,0.8505793967343606,0.009486518270983952,0.18834996223449707,0.07271030886457967,0.044721058962020686,0.013152634522810723
gaussian_mixture,vae,3,0.010885238647460938,0.0011144210963226417,0.19129338581973498,0.007755853519500642,0.2325,0.007176350047203655,0.6855000000000001,0.009273618495495711,0.6875779701206771,0.030127150028000718,0.6859432856241862,0.24529268016090655,,
gaussian_mixture,ddpm,3,0.0010103384653727214,0.0003896107848411003,0.062377159002879025,0.009219191159282368,0.8504999999999999,0.008689073598491387,0.9550000000000001,0.00509901951359279,0.8838141433439709,0.013783918321416181,1.7957008679707844,0.010283568621657347,,
ring,kde,3,0.0004657392438713881,0.00014246358029400147,0.04049955585847497,0.004515802238047565,0.9663333333333334,0.00961191390353084,0.9898333333333333,0.0036817870057290905,0.8988878360241938,0.025662155869652623,0.23724706967671713,0.00271876054839519,1.1999630764449452,0.003562910740366441
ring,gmm,3,0.0006534371597031186,0.0003106131236252672,0.04461257445690683,0.007617013993165323,0.9784999999999999,0.004636809247747872,0.9818333333333333,0.0008498365855987909,0.8619737993083625,0.014228978459103744,0.10579315821329753,0.002896637090768493,1.1808790260434243,0.012775541253291606
ring,vae,3,0.010345737139383951,0.0020400234609614766,0.17322541866149943,0.016926621520034785,0.596,0.031819805153394644,0.9093333333333332,0.013393613735242983,0.7149881098871816,0.025085653811118495,0.5503087043762207,0.005812990560628633,,
ring,ddpm,3,0.0011725425720214844,0.0005118663939594352,0.059801705352354496,0.00998305965400468,0.961,0.004708148963941841,0.9865,0.00267706306736815,0.8854273791086708,0.015631704593490545,1.9478155771891277,0.0644933705517173,,
two_moons,kde,3,0.0002484911670058339,7.997622786516071e-05,0.03335745534740339,0.004006136369224229,0.9663333333333334,0.0074423711872553715,0.9881666666666667,0.004496912521077351,0.888252646504219,0.014849804275788093,0.25540558497111004,0.0010300285330060552,1.6670559547017783,0.018860213738518403
two_moons,gmm,3,0.0004313470487672018,0.00036588033549177923,0.036683547282199976,0.01482432832973935,0.9758333333333334,0.006276056794587593,0.9780000000000001,0.0014719601443879506,0.8431554321586509,0.01344759597680126,0.11967929204305013,0.00780517876630708,1.654151361769485,0.024927982357829958
two_moons,vae,3,0.006138245264689128,0.00127715477282131,0.1566520970376475,0.009485785521824606,0.5241666666666666,0.016679994670929087,0.9346666666666666,0.006599663291074408,0.7794373037464791,0.022983083878157,0.594387928644816,0.06710741437806879,,
two_moons,ddpm,3,0.002393007278442383,0.0015777998316923649,0.08426541225672608,0.027085135305073317,0.8515,0.005612486080160898,0.9708333333333333,0.003274480450731418,0.8383354753480255,0.014533863449210191,2.1454005241394043,0.22822659772380782,,
spiral,kde,3,0.0003908774140261399,0.00015358197604658328,0.0405420134380706,0.006329222981800288,0.9548333333333333,0.0015456030825826026,0.991,0.00267706306736815,0.8354712215333792,0.014987146445286714,0.2513589859008789,0.004075674278851578,2.1376335881044732,0.022880460563319275
spiral,gmm,3,0.0004892410292816063,0.00017841845565502623,0.050199092464861296,0.005416443852938672,0.8033333333333333,0.0163724022536571,0.9546666666666667,0.00473168985552616,0.7423681860647329,0.01664506794206476,0.2090419133504232,0.018169337321076975,2.5266507592711736,0.00715624838358042
spiral,vae,3,0.0006792147954305013,0.00035734579211831724,0.07324242804597605,0.005138993909607333,0.7161666666666667,0.016362219355033195,0.9143333333333333,0.009629237883769511,0.7097113240765118,0.02000980169021568,0.655174970626831,0.09471082057930517,,
spiral,ddpm,3,0.0007357994715372721,0.00019943830128497334,0.0776849171311822,0.0013637103243711332,0.714,0.01746902019767187,0.9471666666666666,0.011330882087855678,0.7596894503322726,0.014648188063875252,2.0063432852427163,0.14028821052718662,,
