dataset,model,seed,mmd,sliced_wasserstein,precision,coverage,support_coverage,nll,radius,train_time_sec
gaussian_mixture,kde,0,0.0006130534855870451,0.05372279131975459,0.9277777777777778,0.97,0.7374631268436578,1.4688915994314087,0.10610219786296979,0.06414389610290527
gaussian_mixture,gmm,0,0.0009182193481462875,0.05853675509202122,0.9611111111111111,0.9644444444444444,0.6932153392330384,1.4245411345234664,0.10610219786296979,0.3200252056121826
gaussian_mixture,vae,0,0.005511760711669922,0.18981918927050073,0.4177777777777778,0.8666666666666667,0.4837758112094395,,0.10610219786296979,1.055095911026001
gaussian_mixture,ddpm,0,0.001928091049194336,0.09307592229975087,0.91,0.9644444444444444,0.696165191740413,,0.10610219786296979,2.100270986557007
gaussian_mixture,kde,1,0.0016883659072763901,0.08087139576195287,0.8977777777777778,0.9622222222222222,0.7617647058823529,1.5007935001960955,0.11200563189911575,0.06535124778747559
gaussian_mixture,gmm,1,0.0016996050366380189,0.08060232097330924,0.9466666666666667,0.9455555555555556,0.7147058823529412,1.4522215691602767,0.11200563189911575,0.2176990509033203
gaussian_mixture,vae,1,0.005555272102355957,0.18445158938317333,0.45666666666666667,0.9033333333333333,0.5029411764705882,,0.11200563189911575,0.6582489013671875
gaussian_mixture,ddpm,1,0.0016298294067382812,0.08101556632707868,0.9022222222222223,0.95,0.7176470588235294,,0.11200563189911575,2.8615360260009766
gaussian_mixture,kde,2,0.000671846826982625,0.05203050790721511,0.9344444444444444,0.97,0.7574850299401198,1.453012113877304,0.11092041085365414,0.07067012786865234
gaussian_mixture,gmm,2,0.0002116997869157089,0.03634164334827095,0.9611111111111111,0.9566666666666667,0.7514970059880239,1.412562161926949,0.11092041085365414,0.1031029224395752
gaussian_mixture,vae,2,0.005408048629760742,0.16896677927382886,0.42444444444444446,0.8966666666666666,0.4940119760479042,,0.11092041085365414,1.0315959453582764
gaussian_mixture,ddpm,2,0.003019571304321289,0.08491819989933962,0.9011111111111111,0.9522222222222222,0.7065868263473054,,0.11092041085365414,2.4349119663238525
ring,kde,0,0.0008497769536461863,0.053646325432527425,0.9433333333333334,0.9888888888888889,0.8012618296529969,1.1007473420391662,0.09467220713889415,0.060865163803100586
ring,gmm,0,0.001169046393439066,0.06192393321939438,0.9811111111111112,0.9888888888888889,0.7886435331230284,1.037107348518947,0.09467220713889415,0.08050084114074707
ring,vae,0,0.010320901870727539,0.17338195745379242,0.5433333333333333,0.9422222222222222,0.6309148264984227,,0.09467220713889415,0.5185098648071289
ring,ddpm,0,0.0023871660232543945,0.08835301451604478,0.9477777777777778,0.9788888888888889,0.7791798107255521,,0.09467220713889415,2.1036360263824463
ring,kde,1,0.0008128521893606688,0.05394188460437736,0.9655555555555555,0.9922222222222222,0.8387096774193549,1.0496421203256474,0.09511171950059595,0.05867600440979004
ring,gmm,1,0.0007228968683337111,0.05500524774317141,0.9844444444444445,0.99,0.832258064516129,1.004687077313707,0.09511171950059595,0.10279202461242676
