dataset,model,n,mmd_mean,mmd_std,sliced_wasserstein_mean,sliced_wasserstein_std,precision_mean,precision_std,coverage_mean,coverage_std,support_coverage_mean,support_coverage_std,train_time_sec_mean,train_time_sec_std,nll_mean,nll_std
gaussian_mixture,kde,3,0.0009910887399486867,0.0004936332986509479,0.062208231662974185,0.013214921526470096,0.9199999999999999,0.015947444549341463,0.9674074074074074,0.003666479606152466,0.7522376208887102,0.010592234962716739,0.06672175725301106,0.0028350952260789283,1.4742324045016026,0.019868876310027466
gaussian_mixture,gmm,3,0.0009431747239000051,0.0006076910323083923,0.058493573137867134,0.018069371774133244,0.9562962962962963,0.0068091764114260305,0.9555555555555556,0.007751277606094925,0.7198060758580013,0.024065149771354565,0.21360905965169272,0.08860536197293785,1.4297749552035641,0.01660846781430671
gaussian_mixture,vae,3,0.00549169381459554,6.175596051877023e-05,0.1810791859758343,0.008840647759966428,0.432962962962963,0.0169805827945891,0.8888888888888888,0.015947444549341445,0.493576321242644,0.007830289595765115,0.9149802525838217,0.1817898092481811,,
gaussian_mixture,ddpm,3,0.0021924972534179688,0.0005973712503395561,0.08633656284205639,0.005024729619581307,0.9044444444444445,0.003954473426678279,0.9555555555555556,0.006350528962771217,0.7067996923037493,0.008771227100800642,2.465572992960612,0.3115404617763395,,
ring,kde,3,0.0006635750364799945,0.00023769800782227552,0.05115232518468906,0.003737988842167411,0.9592592592592593,0.011343253948972988,0.9892592592592594,0.0022831162973959078,0.8139430307372235,0.01751435262973419,0.05928866068522135,0.0011239380955973702,1.072295374637363,0.021262717398031802
ring,gmm,3,0.0011245330923038328,0.00031135717560226955,0.06277039955657056,0.006712526973662179,0.9818518518518519,0.0018885257457751103,0.9851851851851853,0.00604055793714818,0.7910745263544353,0.03267901101206868,0.09051632881164551,0.009239611129436588,1.0336950184134153,0.022422012590000862
ring,vae,3,0.010748624801635742,0.0004719302105685826,0.17562315582121024,0.0029615938525676864,0.5551851851851852,0.00913246518958368,0.9492592592592594,0.005468452985271662,0.6189836598331738,0.008810698013236607,0.5859401226043701,0.048871753852784604,,
ring,ddpm,3,0.001945773760477702,0.0007193803167824416,0.08083619115271908,0.011537431166457064,0.9533333333333333,0.005051178406291025,0.985925925925926,0.005158662324883008,0.8044750972001382,0.023338376874790574,2.2124996980031333,0.1297645599085303,,
two_moons,kde,3,0.0007654047044476364,0.00024005165404089606,0.049674107520776924,0.006194916603431365,0.9703703703703704,0.007554102983100434,0.9885185185185185,0.005158662324883008,0.816816034626355,0.010360138318289146,0.06551472345987956,0.0008260615401106127,1.3097410648670322,0.012600688735579017
two_moons,gmm,3,0.0005288095113665422,0.0005013110017815375,0.03985389878660329,0.014459030732615494,0.9848148148148148,0.00499656946786374,0.9866666666666667,0.0032710225430843836,0.7890036883756677,0.0090202927005874,0.16370892524719238,0.06982236060512767,1.280884594708928,0.031191636159401685
two_moons,vae,3,0.006392876307169597,0.000646213436016704,0.15583515179711221,0.0015370246256988399,0.43555555555555553,0.011036788463519515,0.9014814814814814,0.021321241429072994,0.5243892635146651,0.031465996434463885,0.6702130635579427,0.18468638250369313,,
two_moons,ddpm,3,0.0013832251230875652,0.0014564651010213106,0.062193741548344596,0.026215589352242025,0.8451851851851853,0.01543160493037013,0.9774074074074074,0.0036664796061524475,0.7518884033224323,0.006044551423356969,2.84906005859375,0.19150135441230579,,
spiral,kde,3,0.0014208595321069477,0.0005479938326245604,0.0694153838814457,0.007895391816743043,0.9829629629629629,0.004475202212442426,0.9892592592592592,0.004996569467863711,0.6347245909206568,0.009734062178712269,0.10099220275878906,0.05185591432073631,2.193574648233056,0.0198643956528364
spiral,gmm,3,0.0010495908641373248,0.00026031031414357913,0.06844129737836438,0.007199892453653334,0.9314814814814815,0.00499656946786374,0.9692592592592592,0.004996569467863682,0.5840161738580283,0.024927101091519417,0.1820380687713623,0.03175672671613047,2.473593795698882,0.03617297863970661
spiral,vae,3,0.0014129877090454102,0.0006814558346569396,0.08885720120394247,0.01556304807471983,0.8144444444444444,0.011793839502289384,0.9207407407407407,0.015617161957265202,0.5062625357466829,0.03164495903617617,0.5549006462097168,0.07431412906766616,,
spiral,ddpm,3,0.0005942185719807943,0.00012096684298447272,0.07252454071737725,0.00372042232688672,0.8092592592592592,0.020088965366400913,0.9622222222222222,0.0036288736930121393,0.5134830346239637,0.020282244238497886,2.6005865732828775,0.6976521286920794,,
