dataset,model,seed,outlier_rate,mmd,sliced_wasserstein,precision,coverage,support_coverage,nll,radius,train_time_sec
gaussian_mixture,kde,0,0.0,0.00021777237537912164,0.03131773578448287,0.925,0.9725,0.8720379146919431,0.10185215579827671,0.03792068592419278,0.19465112686157227
gaussian_mixture,gmm,0,0.0,0.0001631970133884053,0.026652790351404287,0.965,0.9495,0.8009478672985783,0.07693948068343173,0.03792068592419278,0.09651803970336914
gaussian_mixture,vae,0,0.0,0.008372306823730469,0.2060325850476549,0.136,0.556,0.7535545023696683,,0.03792068592419278,0.3387739658355713
gaussian_mixture,ddpm,0,0.0,0.0034112930297851562,0.11325422990823433,0.565,0.932,0.8720379146919431,,0.03792068592419278,1.040329933166504
gaussian_mixture,kde,0,0.03,0.00016961343230637027,0.0399397894446266,0.8015,0.984,0.95260663507109,0.28942194418051087,0.03792068592419278,0.23007607460021973
gaussian_mixture,gmm,0,0.03,0.0005881530868356855,0.050158606524280516,0.937,0.956,0.7962085308056872,0.10272401291729695,0.03792068592419278,0.10043692588806152
gaussian_mixture,vae,0,0.03,0.0034040212631225586,0.2338487860793359,0.093,0.4505,0.6492890995260664,,0.03792068592419278,0.37188196182250977
gaussian_mixture,ddpm,0,0.03,0.00043380260467529297,0.08443232781103692,0.4025,0.935,0.9383886255924171,,0.03792068592419278,1.0324127674102783
gaussian_mixture,kde,0,0.08,0.0010991543007770055,0.08998189106561916,0.638,0.989,0.976303317535545,0.6005387079294358,0.03792068592419278,0.24507379531860352
gaussian_mixture,gmm,0,0.08,0.0007005314305272847,0.06048409423710046,0.893,0.95,0.8056872037914692,0.1438043438587585,0.03792068592419278,0.11956787109375
gaussian_mixture,vae,0,0.08,0.0018235445022583008,0.22737774990056064,0.107,0.45,0.7061611374407583,,0.03792068592419278,0.4162712097167969
gaussian_mixture,ddpm,0,0.08,0.0008176565170288086,0.13193931711125426,0.1965,0.7205,0.8815165876777251,,0.03792068592419278,1.367530345916748
gaussian_mixture,kde,0,0.15,0.0028950725063909832,0.12146878320231062,0.697,0.9785,0.9383886255924171,0.39741892309981963,0.03792068592419278,0.23186397552490234
